TimeStamp;Over240P3;Over240P2;Over240P1;1VStepsP3;1VStepsP2;1VStepsP1
2017-05-05 23:26:08.716;Over;Over;Over;;;
2017-05-05 23:26:27.532;Over;Over;Over;;;
2017-05-05 23:26:36.988;Over;Over;Over;;;
2017-05-05 23:26:46.328;Over;Over;Over;;;
2017-05-05 23:26:55.798;Over;Over;Over;;;
2017-05-05 23:27:05.143;Over;Over;Over;;;
2017-05-05 23:27:14.616;Over;Over;Over;;;
2017-05-05 23:27:23.956;Over;Over;Over;;;
2017-05-05 23:27:33.417;Over;Over;Over;;;
2017-05-05 23:27:42.881;Over;Over;Over;;;
2017-05-05 23:28:01.591;Over;Over;Over;;;
2017-05-05 23:28:11.055;Over;Over;Over;;;
2017-05-05 23:28:20.408;Over;Over;Over;;;
2017-05-05 23:28:29.891;Over;Over;Over;;;
2017-05-05 23:28:39.230;Over;Over;Over;;;
2017-05-05 23:28:48.710;Over;Over;Over;;;
2017-05-05 23:28:58.043;Over;Over;Over;;;
2017-05-05 23:29:07.534;Over;Over;Over;;;
2017-05-05 23:29:16.859;Over;Over;Over;;;
2017-05-05 23:29:26.337;Over;Over;Over;;;
2017-05-05 23:29:35.667;Over;Over;Over;;;
2017-05-05 23:29:45.140;Over;Over;;;;
2017-05-05 23:29:54.491;Over;Over;;;;
2017-05-05 23:30:03.962;Over;Over;;;;
2017-05-05 23:30:13.300;Over;Over;;;;
2017-05-05 23:30:22.771;Over;Over;;;;
2017-05-05 23:30:32.140;Over;Over;;;;
2017-05-05 23:30:41.603;Over;Over;;;;
2017-05-05 23:30:50.957;Over;Over;;;;
2017-05-05 23:31:09.782;Over;Over;;;;
2017-05-05 23:31:38.044;Over;Over;;;;
2017-05-05 23:31:47.417;Over;Over;;;;
2017-05-05 23:31:56.876;Over;Over;Over;;;
2017-05-05 23:32:06.225;Over;Over;Over;;;
2017-05-05 23:32:25.026;Over;Over;Over;;;
2017-05-05 23:32:43.836;Over;Over;Over;;;
2017-05-05 23:32:53.306;Over;Over;Over;;;
2017-05-05 23:33:12.139;Over;Over;Over;;;
2017-05-05 23:33:21.504;Over;Over;Over;;;
2017-05-05 23:33:30.856;Over;Over;Over;;;
2017-05-05 23:33:40.326;Over;Over;Over;;;
2017-05-05 23:33:49.791;Over;Over;Over;;;
2017-05-05 23:34:08.598;Over;Over;Over;;;
2017-05-05 23:34:17.945;Over;Over;Over;;;
2017-05-05 23:34:27.407;Over;Over;Over;;;
2017-05-05 23:34:36.773;Over;Over;Over;;;
2017-05-05 23:34:46.227;Over;Over;Over;;;
2017-05-05 23:35:14.383;Over;Over;Over;;;
2017-05-05 23:35:33.199;Over;Over;Over;;;
2017-05-05 23:35:42.652;Over;Over;Over;;;
2017-05-05 23:35:52.023;Over;Over;Over;;;
2017-05-05 23:36:01.483;Over;Over;Over;;;
2017-05-05 23:36:10.832;Over;Over;Over;;;
2017-05-05 23:36:20.281;Over;Over;Over;;;
2017-05-05 23:36:29.669;Over;Over;Over;;;
2017-05-05 23:36:39.139;Over;Over;Over;;;
2017-05-05 23:36:48.481;Over;Over;Over;;;
2017-05-05 23:36:57.948;Over;Over;Over;;;
2017-05-05 23:37:07.284;Over;Over;Over;;;
2017-05-05 23:37:26.103;Over;Over;Over;;;
2017-05-05 23:37:35.566;Over;Over;Over;;;
2017-05-05 23:37:54.381;Over;Over;Over;;;
2017-05-05 23:38:13.196;Over;Over;Over;;;
2017-05-05 23:38:22.535;Over;Over;Over;;;
2017-05-05 23:38:41.365;Over;Over;Over;;;
2017-05-05 23:38:50.828;Over;Over;Over;;;
2017-05-05 23:39:09.534;Over;Over;Over;;;
2017-05-05 23:39:28.359;Over;Over;Over;;;
2017-05-05 23:39:47.280;Over;Over;Over;;;
2017-05-05 23:39:56.627;Over;Over;Over;;;
2017-05-05 23:40:06.089;Over;Over;Over;;;
2017-05-05 23:40:15.445;Over;Over;Over;;;
2017-05-05 23:40:24.911;Over;Over;Over;;;
2017-05-05 23:40:34.264;Over;Over;Over;;;
2017-05-05 23:40:43.610;Over;Over;Over;;;
2017-05-05 23:41:11.904;Over;Over;Over;;;
2017-05-05 23:41:30.708;Over;Over;Over;;;
2017-05-05 23:41:40.171;Over;Over;Over;;;
2017-05-05 23:41:49.522;Over;Over;Over;;;
2017-05-05 23:42:08.364;Over;Over;Over;;;
2017-05-05 23:42:17.691;Over;Over;Over;;;
2017-05-05 23:42:36.540;Over;Over;Over;;;
2017-05-05 23:42:46.023;Over;Over;Over;;;
2017-05-05 23:42:55.353;Over;Over;Over;;;
2017-05-05 23:43:04.818;Over;Over;Over;;;
2017-05-05 23:43:14.175;Over;Over;Over;;;
2017-05-05 23:43:23.635;Over;Over;Over;;;
2017-05-05 23:43:42.450;Over;Over;Over;;;
2017-05-05 23:43:51.808;Over;Over;Over;;;
2017-05-05 23:44:01.265;Over;Over;Over;;;
2017-05-05 23:44:10.615;Over;Over;Over;;;
2017-05-05 23:44:29.422;Over;Over;Over;;;
2017-05-05 23:44:38.900;Over;Over;Over;;;
2017-05-05 23:44:48.254;Over;Over;Over;;;
2017-05-05 23:44:57.701;Over;Over;Over;;;
2017-05-05 23:45:07.053;Over;Over;Over;;;
2017-05-05 23:45:16.539;Over;Over;Over;;;
2017-05-05 23:45:35.346;Over;Over;Over;;;
